date,procedure,claim_count,total_claim_amount,incomplete_documentation_count,avg_member_risk_score
2026-01-01,Wound care,4,5200,1,0.71
2026-01-02,Wound care,5,6100,1,0.73
2026-01-03,Wound care,4,5450,1,0.70
2026-01-04,Wound care,6,7350,2,0.76
2026-01-05,Wound care,5,6800,1,0.74
2026-01-06,Wound care,7,8900,2,0.79
2026-01-07,Wound care,6,8100,2,0.78
2026-01-08,Wound care,5,6500,1,0.73
2026-01-09,Wound care,6,7600,2,0.77
2026-01-10,Wound care,5,6900,1,0.74
2026-01-11,Wound care,13,24800,7,0.91
2026-01-12,Wound care,6,8200,2,0.79
2026-01-13,Wound care,5,7000,1,0.75
2026-01-14,Wound care,6,7900,2,0.78
2026-01-15,Wound care,5,6600,1,0.73
2026-01-16,Advanced imaging,3,5700,1,0.55
2026-01-17,Advanced imaging,4,7600,1,0.58
2026-01-18,Advanced imaging,3,6150,1,0.56
2026-01-19,Advanced imaging,4,8200,2,0.62
2026-01-20,Advanced imaging,3,5900,1,0.54
2026-01-21,Advanced imaging,9,26700,5,0.81
2026-01-22,Advanced imaging,4,7800,1,0.59
2026-01-23,Advanced imaging,3,6100,1,0.55
2026-01-24,Advanced imaging,4,8000,2,0.61
2026-01-25,Advanced imaging,3,6000,1,0.56
2026-01-26,Office visit,12,2160,0,0.32
2026-01-27,Office visit,13,2340,0,0.34
2026-01-28,Office visit,11,1980,0,0.31
2026-01-29,Office visit,12,2200,1,0.33
2026-01-30,Office visit,14,2520,0,0.35
2026-01-31,Office visit,28,8400,8,0.66
2026-02-01,Office visit,13,2400,0,0.34
2026-02-02,Office visit,12,2100,0,0.32
2026-02-03,Office visit,14,2600,1,0.35
2026-02-04,Office visit,13,2300,0,0.33
